,Unnamed: 0.42,Unnamed: 0.41,Unnamed: 0.40,Unnamed: 0.39,Unnamed: 0.38,Unnamed: 0.37,Unnamed: 0.36,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,username,nickname,tweet_path,tweet
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,705299384301441024,WhyHelloRenato,Renato♓Pas20rMu22ets 😇🤓😷🍄💙💉💉🇳🇱,/WhyHelloRenato/status/1514774306051428356,"#IAskedTheGenieFor 
Two Dollarspic.twitter.com/0Got242Wsu"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1473990353359446019,cryp_toplayer,Morty’s,/cryp_toplayer/status/1514697819873071105,"hello fam, how is your day going?"
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1423181531225346048,DonsTotchi,SHAR🥀| ia phase 🌸💉,/DonsTotchi/status/1514744069175799820,"Hello naman sainyo Donny and Belle! Enjoy luvs 

( photo not mine )

#DonBelle | #DONBELLEmpire
#DonnyPangilinan | #BelleMarianopic.twitter.com/lx38gSKJjY"
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1337602505434406912,satincal,viviana,/satincal/status/1514698439539494914,hello everyone
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,296509052,HelloKitty_Plug,MF DOM 🎀,/HelloKitty_Plug/status/1514743265995767811,"i love easter
i only give adults baskets 

fuck them kids bro"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1498493802100654081,niko20223,にこ＊5/3東4あ15a,/niko20223/status/1514773401000640514,Hello my angel pic.twitter.com/aI4v5Q4bPk
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1065162839134896129,sweettenrr,Andre’a🍑,/sweettenrr/status/1514743289077182464,@Essence hello on the next cover i believe the next family should be Victoria Monét & Mr. Gaines would be the next best option!
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1487600779926114306,yinadol,yina,/yinadol/status/1514751982166327300,hello . pic.twitter.com/jtegJhNBtw
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2782936939,Metanoia100,Cat Woman 🙏 🇺🇦 🇬🇧,/Metanoia100/status/1514612536632434712,"Hello anyone at home? 
#cats #CatsOfTwitterpic.twitter.com/dR9ALUIG1s"
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,931397778101518336,battleguitar,82,/battleguitar/status/1514749871151988737,hello pic.twitter.com/meZRMD2JEb
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25159518,HelloItsAviana,♕,/HelloItsAviana/status/1514777244849238033,Time for a TL cleanse courtesy of one of my local mall pigeons who decided it was bath time! #BirdsSeenIn2022 #BirdTwitterpic.twitter.com/p3nV2O8D2L
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1158857552865693696,fearlesspltnm,fearless (taylor’s version) bot,/fearlesspltnm/status/1514758622512787483,"hello mr. perfectly fine, how's your heart after breaking mine?"
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1432234690669318147,Orangechan01,✨ !Oɾαɳɠҽ-ƈԋαɳ!✨,/Orangechan01/status/1514443849015328770,"hello! I wanted to make this drawing of the two sky as a special of 10,000 followers (◍•ᴗ•◍) pic.twitter.com/kFG2tC21Xf"
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1449981680589099011,taliasvio,thea mays’ pr manager,/taliasvio/status/1514774635526557696,MY FUCKING GIRLS!! HELLO #Legacies pic.twitter.com/LEPfLKUhBg
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1202558655696031744,PearlMione,mione,/PearlMione/status/1514752091373568000,"Hello #DonBelle!

#LeniKiko2022
#LeniKikoAllTheWaypic.twitter.com/ijmXyb7NUw"
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3319333645,liliriot,🔱,/liliriot/status/1514772473815834635,HELLO???? pic.twitter.com/LSL04Inv0a
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1316881542493462529,leemonsailor,Lee 🍋 :),/leemonsailor/status/1514682402991390729,"“Hello?”

#ranboofanart #ghostboofanartpic.twitter.com/nN89AkCMRJ"
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1514385925610123279,LukeSlansky,Luke Slansky,/LukeSlansky/status/1514779613620150272,Hello poised pic.twitter.com/mLqs0hMbZ9
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1359842270212718595,deoors,Ors💉,/deoors/status/1514704720295772166,"Hello, you carry Barca like a philo!! pic.twitter.com/RHvBOGwgtQ"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,412200772,yencadebaene,yencaaa,/yencadebaene/status/1514743291601985537,"Hello you beautiful people, I hope you have an amazing day today and that you're doing well ! Kisses <3"
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,705299384301441024,WhyHelloRenato,Renato♓Pas20rMu22ets 😇🤓😷🍄💙💉💉🇳🇱,/WhyHelloRenato/status/1514774306051428356,"#IAskedTheGenieFor 
Two Dollarspic.twitter.com/0Got242Wsu"
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1473990353359446019,cryp_toplayer,Morty’s,/cryp_toplayer/status/1514697819873071105,"hello fam, how is your day going?"
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1423181531225346048,DonsTotchi,SHAR🥀| ia phase 🌸💉,/DonsTotchi/status/1514744069175799820,"Hello naman sainyo Donny and Belle! Enjoy luvs 

( photo not mine )

#DonBelle | #DONBELLEmpire
#DonnyPangilinan | #BelleMarianopic.twitter.com/lx38gSKJjY"
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1337602505434406912,satincal,viviana,/satincal/status/1514698439539494914,hello everyone
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1498493802100654081,niko20223,にこ＊5/3東4あ15a,/niko20223/status/1514773401000640514,Hello my angel pic.twitter.com/aI4v5Q4bPk
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,1487600779926114306,yinadol,yina,/yinadol/status/1514751982166327300,hello . pic.twitter.com/jtegJhNBtw
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2782936939,Metanoia100,Cat Woman 🙏 🇺🇦 🇬🇧,/Metanoia100/status/1514612536632434712,"Hello anyone at home? 
#cats #CatsOfTwitterpic.twitter.com/dR9ALUIG1s"
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,296509052,HelloKitty_Plug,MF DOM 🎀,/HelloKitty_Plug/status/1514743265995767811,"i love easter
i only give adults baskets 

fuck them kids bro"
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,25159518,HelloItsAviana,♕,/HelloItsAviana/status/1514777244849238033,Time for a TL cleanse courtesy of one of my local mall pigeons who decided it was bath time! #BirdsSeenIn2022 #BirdTwitterpic.twitter.com/p3nV2O8D2L
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,931397778101518336,battleguitar,82,/battleguitar/status/1514749871151988737,hello pic.twitter.com/meZRMD2JEb
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1065162839134896129,sweettenrr,Andre’a🍑,/sweettenrr/status/1514743289077182464,@Essence hello on the next cover i believe the next family should be Victoria Monét & Mr. Gaines would be the next best option!
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1432234690669318147,Orangechan01,✨ !Oɾαɳɠҽ-ƈԋαɳ!✨,/Orangechan01/status/1514443849015328770,"hello! I wanted to make this drawing of the two sky as a special of 10,000 followers (◍•ᴗ•◍) pic.twitter.com/kFG2tC21Xf"
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1449981680589099011,taliasvio,thea mays’ pr manager,/taliasvio/status/1514774635526557696,MY FUCKING GIRLS!! HELLO #Legacies pic.twitter.com/LEPfLKUhBg
